"id","name","prefix"
"1","Annals of Family Medicine","10.1370"
"2","American Association of Petroleum Geologists AAPG/Datapages","10.15530"
"2","American Association of Petroleum Geologists AAPG/Datapages","10.1306"
"3","American Association of Physics Teachers (AAPT)","10.1119"
"6","American College of Medical Physics (ACMP)","10.1120"
"9","Allen Press","10.1043"
"10","American Medical Association (AMA)","10.1001"
"11","American Economic Association","10.1257"
"12","American Meteorological Society","10.1175"
"13","American Geophysical Union (AGU)","10.1029"
"14","American Mathematical Society (AMS)","10.1090"
"15","American Psychological Association (APA)","10.1037"
"16","American Physical Society (APS)","10.29172"
"16","American Physical Society (APS)","10.1103"
"17","American Scientific Publishers","10.1166"
"19","American Thoracic Society","10.1164"
"19","American Thoracic Society","10.34197"
"19","American Thoracic Society","10.1165"
"19","American Thoracic Society","10.1513"
"20","American Vacuum Society","10.1116"
"21","Medical Association of Nippon Medical School","10.1272"
"22","Annual Reviews","10.1146"
"22","Annual Reviews","10.5260"
"23","American Pharmacists Association","10.21019"
"24","American Physiological Society","10.1152"
"25","Applied Probability Trust","10.1239"
"27","Association for Research in Vision and Ophthalmology (ARVO)","10.1167"
"28","American Society for Biochemistry & Molecular Biology (ASBMB)","10.1074"
"28","American Society for Biochemistry & Molecular Biology (ASBMB)","10.1194"
"30","American Society of Civil Engineers (ASCE)","10.1061"
"32","American Society for Clinical Pathology (ASCP)","10.1309"
"33","ASME International","10.1115"
"36","American Society for Pharmacology & Experimental Therapeutics (ASPET)","10.1124"
"37","American Society of Plant Biologists (ASPB)","10.1104"
"37","American Society of Plant Biologists (ASPB)","10.1105"
"37","American Society of Plant Biologists (ASPB)","10.46678"
"42","British Editorial Society of Bone & Joint Surgery","10.1302"
"45","British Institute of Radiology","10.1259"
"46","Blackhorse Publishing","10.1066"
"50","Brill","10.2959"
"50","Brill","10.1163"
"50","Brill","10.3920"
"50","Brill","10.22434"
"50","Brill","10.52004"
"56","Cambridge University Press (CUP)","10.7135"
"56","Cambridge University Press (CUP)","10.3815"
"56","Cambridge University Press (CUP)","10.5949"
"56","Cambridge University Press (CUP)","10.1375"
"56","Cambridge University Press (CUP)","10.7313"
"56","Cambridge University Press (CUP)","10.1154"
"56","Cambridge University Press (CUP)","10.4039"
"56","Cambridge University Press (CUP)","10.5948"
"56","Cambridge University Press (CUP)","10.1017"
"56","Cambridge University Press (CUP)","10.33774"
"63","Clay Minerals Society","10.1346"
"67","CSIRO Publishing","10.1071"
"67","CSIRO Publishing","10.69508"
"69","Dartmouth College Library Press","10.1349"
"71","Clarivate Analytics (US) LLC","10.4023"
"71","Clarivate Analytics (US) LLC","10.1358"
"71","Clarivate Analytics (US) LLC","10.14322"
"72","CNRI Acct","10.1045"
"73","Duke University Press","10.1215"
"75","Earthquake Engineering Research Institute","10.1193"
"77","The Electrochemical Society","10.1149"
"78","Elsevier BV","10.1529"
"78","Elsevier BV","10.14219"
"78","Elsevier BV","10.1367"
"78","Elsevier BV","10.1205"
"78","Elsevier BV","10.1006"
"78","Elsevier BV","10.2139"
"78","Elsevier BV","10.3921"
"78","Elsevier BV","10.3129"
"78","Elsevier BV","10.1602"
"78","Elsevier BV","10.1580"
"78","Elsevier BV","10.1240"
"78","Elsevier BV","10.1383"
"78","Elsevier BV","10.7424"
"78","Elsevier BV","10.1067"
"78","Elsevier BV","10.21967"
"78","Elsevier BV","10.2111"
"78","Elsevier BV","10.2353"
"78","Elsevier BV","10.3182"
"78","Elsevier BV","10.3816"
"78","Elsevier BV","10.1157"
"78","Elsevier BV","10.1533"
"78","Elsevier BV","10.1016"
"78","Elsevier BV","10.1378"
"78","Elsevier BV","10.7811"
"78","Elsevier BV","10.4065"
"78","Elsevier BV","10.7399"
"78","Elsevier BV","10.1197"
"78","Elsevier BV","10.1054"
"78","Elsevier BV","10.1053"
"78","Elsevier BV","10.1331"
"78","Elsevier BV","10.1078"
"78","Elsevier BV","10.25013"
"79","European Molecular Biology Organization","10.15252"
"80","The Endocrine Society","10.1210"
"81","European Respiratory Society (ERS)","10.1183"
"92","Gallaudet University","10.1374"
"93","Springer Fachmedien Wiesbaden GmbH","10.1365"
"98","Hindawi Limited","10.7167"
"98","Hindawi Limited","10.1100"
"98","Hindawi Limited","10.1155"
"98","Hindawi Limited","10.5402"
"98","Hindawi Limited","10.7217"
"98","Hindawi Limited","10.4061"
"98","Hindawi Limited","10.6064"
"98","Hindawi Limited","10.3814"
"100","Human Kinetics","10.1123"
"101","Hogrefe Publishing Group","10.4486"
"101","Hogrefe Publishing Group","10.1024"
"101","Hogrefe Publishing Group","10.1027"
"101","Hogrefe Publishing Group","10.1026"
"102","Health Affairs Publishing, LLC","10.1377"
"103","International Bone & Mineral Society","10.1138"
"108","Institute of Mathematical Statistics","10.1214"
"109","Institute for Operations Research and the Management Sciences (INFORMS)","10.1287"
"111","Institute of Organic Chemistry & Biochemistry","10.1135"
"112","ISEAS - Yusof Ishak Institute","10.1355"
"113","International Union of Pure and Applied Chemistry (IUPAC)","10.1351"
"116","Japanese Society of  Mammalian Ova Research","10.1274"
"118","Japan Society of Equine Science","10.1294"
"119","Japanese Society of Hypertension","10.1291"
"120","Japanese Physical Therapy Association","10.1298"
"121","Japanese Society of Toxicologic Pathology","10.1293"
"122","Japanese Society of Veterinary Science","10.1292"
"123","Japan Radiation Research Society","10.1269"
"124","Japan Society of Mechanical Engineers","10.1299"
"125","Japanese Society for Pediatric Endocrinology","10.1297"
"127","S. Karger AG","10.26904"
"127","S. Karger AG","10.1159"
"127","S. Karger AG","10.32907"
"130","Thomas Land Publishers","10.1310"
"137","Pleiades Publishing Ltd","10.1134"
"138","Maney Publishing","10.1179"
"140","Emerald","10.5042"
"140","Emerald","10.1680"
"140","Emerald","10.35241"
"140","Emerald","10.1561"
"140","Emerald","10.52966"
"140","Emerald","10.1108"
"141","Metapress","10.1092"
"143","Michigan Mathematical Journal","10.1307"
"147","Project MUSE","10.13186"
"147","Project MUSE","10.1353"
"147","Project MUSE","10.7588"
"147","Project MUSE","10.56021"
"147","Project MUSE","10.5403"
"147","Project MUSE","10.5699"
"147","Project MUSE","10.26597"
"149","Notre Dame Journal of Formal Logic","10.1305"
"150","Massachusetts Medical Society","10.1056"
"155","Canadian Science Publishing","10.1139"
"160","Penn State Press (Project Muse)","10.1376"
"162","Royal Pharmaceutical Society","10.18578"
"162","Royal Pharmaceutical Society","10.1211"
"163","Pharmaceutical Society of Japan","10.1248"
"164","Pion Ltd","10.1068"
"165","Bristol University Press","10.56687"
"165","Bristol University Press","10.70969"
"165","Bristol University Press","10.46692"
"165","Bristol University Press","10.1332"
"165","Bristol University Press","10.47674"
"165","Bristol University Press","10.51952"
"170","Royal College of Psychiatrists","10.1192"
"171","Royal College of Surgeons of England","10.1308"
"175","The Royal Society","10.1098"
"177","Royal Swedish Academy of Sciences","10.1238"
"179","SAGE Publications","10.1528"
"179","SAGE Publications","10.1606"
"179","SAGE Publications","10.52255"
"179","SAGE Publications","10.12679"
"179","SAGE Publications","10.3821"
"179","SAGE Publications","10.4137"
"179","SAGE Publications","10.1345"
"179","SAGE Publications","10.2511"
"179","SAGE Publications","10.1106"
"179","SAGE Publications","10.1622"
"179","SAGE Publications","10.1369"
"179","SAGE Publications","10.4219"
"179","SAGE Publications","10.14240"
"179","SAGE Publications","10.4135"
"179","SAGE Publications","10.5126"
"179","SAGE Publications","10.5367"
"179","SAGE Publications","10.5301"
"179","SAGE Publications","10.1243"
"179","SAGE Publications","10.1089"
"179","SAGE Publications","10.7182"
"179","SAGE Publications","10.3181"
"179","SAGE Publications","10.2190"
"179","SAGE Publications","10.47515"
"179","SAGE Publications","10.3818"
"179","SAGE Publications","10.2968"
"179","SAGE Publications","10.47594"
"179","SAGE Publications","10.1630"
"179","SAGE Publications","10.1354"
"179","SAGE Publications","10.1258"
"179","SAGE Publications","10.15256"
"179","SAGE Publications","10.3317"
"179","SAGE Publications","10.31124"
"179","SAGE Publications","10.5034"
"179","SAGE Publications","10.2182"
"179","SAGE Publications","10.17322"
"179","SAGE Publications","10.5153"
"179","SAGE Publications","10.1177"
"179","SAGE Publications","10.2189"
"179","SAGE Publications","10.1191"
"179","SAGE Publications","10.5193"
"180","Society for Applied Spectroscopy","10.1366"
"181","Schweizerbart","10.1127"
"183","Society for Leukocyte Biology","10.1189"
"186","Society of Exploration Geophysicists","10.7462"
"186","Society of Exploration Geophysicists","10.4133"
"186","Society of Exploration Geophysicists","10.1190"
"187","Society of Rheology","10.1122"
"189","SPIE-Intl Soc Optical Eng","10.1117"
"191","Swets & Zeitlinger Publishers","10.1076"
"192","Techno-Press","10.1296"
"194","Georg Thieme Verlag KG","10.15265"
"194","Georg Thieme Verlag KG","10.1160"
"194","Georg Thieme Verlag KG","10.5482"
"194","Georg Thieme Verlag KG","10.1055"
"194","Georg Thieme Verlag KG","10.3413"
"194","Georg Thieme Verlag KG","10.12687"
"194","Georg Thieme Verlag KG","10.3414"
"194","Georg Thieme Verlag KG","10.4338"
"194","Georg Thieme Verlag KG","10.15654"
"194","Georg Thieme Verlag KG","10.3415"
"194","Georg Thieme Verlag KG","10.15653"
"200","University of Chicago Press","10.5950"
"200","University of Chicago Press","10.1086"
"200","University of Chicago Press","10.7208"
"204","Uitgeverij Boom","10.1347"
"208","Universite du Quebec a Chicoutimi","10.1522"
"217","College Literature (Project Muse)","10.1372"
"219","World Scientific Pub Co Pte Ltd","10.1142"
"221","American Association for the Advancement of Science (AAAS)","10.1126"
"221","American Association for the Advancement of Science (AAAS)","10.34133"
"222","American Association for Clinical Chemistry (AACC)","10.1373"
"222","American Association for Clinical Chemistry (AACC)","10.15428"
"223","American Association on Intellectual and Developmental Disabilities (AAIDD)","10.1352"
"224","American Association of Physicists in Medicine (AAPM)","10.37206"
"229","American Museum of Natural History (BioOne sponsored)","10.1206"
"230","American Psychiatric Association Publishing","10.1176"
"231","Acoustical Society of America (ASA)","10.1121"
"232","American Society for Clinical Investigation","10.1172"
"233","American Society of Clinical Oncology (ASCO)","10.14694"
"233","American Society of Clinical Oncology (ASCO)","10.1200"
"234","American Society of Hematology","10.1182"
"235","American Society for Microbiology","10.1128"
"237","The Company of Biologists","10.1242"
"237","The Company of Biologists","10.31981"
"239","BMJ","10.1783"
"239","BMJ","10.1136"
"242","CABI Publishing","10.1079"
"242","CABI Publishing","10.12774"
"242","CABI Publishing","10.31220"
"245","Chem-Bio Informatics Society","10.1273"
"246","Cold Spring Harbor Laboratory","10.1261"
"246","Cold Spring Harbor Laboratory","10.1110"
"246","Cold Spring Harbor Laboratory","10.1101"
"246","Cold Spring Harbor Laboratory","10.14224"
"250","EDP Sciences","10.1051"
"250","EDP Sciences","10.9742"
"250","EDP Sciences","10.2516"
"250","EDP Sciences","10.2515"
"252","Environmental Health Perspectives","10.5696"
"252","Environmental Health Perspectives","10.1289"
"253","Project Euclid","10.3792"
"254","Fibre Diffraction Review","10.1382"
"257","Geological Society of America","10.1130"
"259","Guttmacher Institute","10.1363"
"260","The Haworth Press","10.1300"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.1109"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.30941"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.21629"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.47962"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.23919"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.15325"
"263","Institute of Electrical and Electronics Engineers (IEEE)","10.36227"
"264","IFIS Publishing","10.1616"
"265","Institution of Engineering and Technology (IET)","10.1049"
"266","IOP Publishing","10.35848"
"266","IOP Publishing","10.1209"
"266","IOP Publishing","10.1088"
"266","IOP Publishing","10.1238"
"266","IOP Publishing","10.1070"
"268","Japanese Society of Applied Entomology & Zoology","10.1303"
"269","Japan Society for Bioscience, Biotechnology, and Agrochemistry","10.1271"
"270","Journal of Marine Research/Yale","10.1357"
"271","Japanese Society of Breeding","10.1270"
"272","Japan Science and Technology Agency (JST)","10.1241"
"272","Japan Science and Technology Agency (JST)","10.52926"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1519"
"276","Ovid Technologies (Wolters Kluwer Health)","10.14309"
"276","Ovid Technologies (Wolters Kluwer Health)","10.6219"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1212"
"276","Ovid Technologies (Wolters Kluwer Health)","10.11124"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1288"
"276","Ovid Technologies (Wolters Kluwer Health)","10.5415"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1203"
"276","Ovid Technologies (Wolters Kluwer Health)","10.2215"
"276","Ovid Technologies (Wolters Kluwer Health)","10.34067"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1213"
"276","Ovid Technologies (Wolters Kluwer Health)","10.5435"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1227"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1249"
"276","Ovid Technologies (Wolters Kluwer Health)","10.2459"
"276","Ovid Technologies (Wolters Kluwer Health)","10.2106"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1161"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1681"
"276","Ovid Technologies (Wolters Kluwer Health)","10.4103"
"276","Ovid Technologies (Wolters Kluwer Health)","10.1097"
"276","Ovid Technologies (Wolters Kluwer Health)","10.15380"
"276","Ovid Technologies (Wolters Kluwer Health)","10.3760"
"276","Ovid Technologies (Wolters Kluwer Health)","10.46986"
"278","Mary Ann Liebert Inc","10.1089"
"281","MIT Press","10.1162"
"281","MIT Press","10.7551"
"281","MIT Press","10.31859"
"282","Multi-Science Publishing Co. Ltd.","10.1260"
"283","NIDA/RTI International","10.1151"
"285","Optica Publishing Group","10.1364"
"286","Oxford University Press (OUP)","10.1093"
"286","Oxford University Press (OUP)","10.3382"
"286","Oxford University Press (OUP)","10.5740"
"286","Oxford University Press (OUP)","10.2146"
"286","Oxford University Press (OUP)","10.1534"
"288","Portland Press Ltd.","10.1042"
"290","The Society of Protozoologists","10.1368"
"291","Rockefeller University Press","10.1083"
"291","Rockefeller University Press","10.1085"
"291","Rockefeller University Press","10.1084"
"291","Rockefeller University Press","10.47673"
"291","Rockefeller University Press","10.70962"
"292","Royal Society of Chemistry (RSC)","10.1039"
"294","Science China Press., Co. Ltd.","10.1360"
"296","Society for In Vitro Biology","10.1290"
"297","Springer Science and Business Media LLC","10.1208"
"297","Springer Science and Business Media LLC","10.19150"
"297","Springer Science and Business Media LLC","10.1245"
"297","Springer Science and Business Media LLC","10.7603"
"297","Springer Science and Business Media LLC","10.17504"
"297","Springer Science and Business Media LLC","10.1007"
"297","Springer Science and Business Media LLC","10.17269"
"297","Springer Science and Business Media LLC","10.4076"
"297","Springer Science and Business Media LLC","10.7123"
"297","Springer Science and Business Media LLC","10.1140"
"297","Springer Science and Business Media LLC","10.1381"
"297","Springer Science and Business Media LLC","10.33283"
"297","Springer Science and Business Media LLC","10.4333"
"297","Springer Science and Business Media LLC","10.1186"
"297","Springer Science and Business Media LLC","10.1065"
"297","Springer Science and Business Media LLC","10.1361"
"297","Springer Science and Business Media LLC","10.4056"
"297","Springer Science and Business Media LLC","10.1023"
"297","Springer Science and Business Media LLC","10.1385"
"297","Springer Science and Business Media LLC","10.26778"
"297","Springer Science and Business Media LLC","10.26777"
"297","Springer Science and Business Media LLC","10.21203"
"297","Springer Science and Business Media LLC","10.5819"
"297","Springer Science and Business Media LLC","10.1617"
"297","Springer Science and Business Media LLC","10.1013"
"297","Springer Science and Business Media LLC","10.1057"
"297","Springer Science and Business Media LLC","10.1379"
"297","Springer Science and Business Media LLC","10.1038"
"297","Springer Science and Business Media LLC","10.1114"
"297","Springer Science and Business Media LLC","10.3758"
"297","Springer Science and Business Media LLC","10.1557"
"297","Springer Science and Business Media LLC","10.3858"
"297","Springer Science and Business Media LLC","10.7759"
"297","Springer Science and Business Media LLC","10.2165"
"297","Springer Science and Business Media LLC","10.1251"
"297","Springer Science and Business Media LLC","10.5052"
"298","Society of Polymer Science, Japan","10.1295"
"299","Surface Science Society Japan","10.1380"
"301","Informa UK Limited","10.3826"
"301","Informa UK Limited","10.1586"
"301","Informa UK Limited","10.1201"
"301","Informa UK Limited","10.1300"
"301","Informa UK Limited","10.3763"
"301","Informa UK Limited","10.2753"
"301","Informa UK Limited","10.3109"
"301","Informa UK Limited","10.1623"
"301","Informa UK Limited","10.1887"
"301","Informa UK Limited","10.2976"
"301","Informa UK Limited","10.2217"
"301","Informa UK Limited","10.5408"
"301","Informa UK Limited","10.2513"
"301","Informa UK Limited","10.2216"
"301","Informa UK Limited","10.1207"
"301","Informa UK Limited","10.1888"
"301","Informa UK Limited","10.5661"
"301","Informa UK Limited","10.17730"
"301","Informa UK Limited","10.3200"
"301","Informa UK Limited","10.4113"
"301","Informa UK Limited","10.1582"
"301","Informa UK Limited","10.1185"
"301","Informa UK Limited","10.3187"
"301","Informa UK Limited","10.4155"
"301","Informa UK Limited","10.1081"
"301","Informa UK Limited","10.1080"
"301","Informa UK Limited","10.1517"
"301","Informa UK Limited","10.3939"
"301","Informa UK Limited","10.1531"
"301","Informa UK Limited","10.1179"
"301","Informa UK Limited","10.2147"
"301","Informa UK Limited","10.3810"
"301","Informa UK Limited","10.4324"
"301","Informa UK Limited","10.3137"
"301","Informa UK Limited","10.3152"
"301","Informa UK Limited","10.5175"
"301","Informa UK Limited","10.4169"
"301","Informa UK Limited","10.1174"
"301","Informa UK Limited","10.3110"
"301","Informa UK Limited","10.2167"
"301","Informa UK Limited","10.3155"
"301","Informa UK Limited","10.3111"
"301","Informa UK Limited","10.1198"
"301","Informa UK Limited","10.7158"
"301","Informa UK Limited","10.2144"
"301","Informa UK Limited","10.4161"
"309","Vathek Publishing","10.1350"
"310","Westburn Publishers","10.1362"
"311","Wiley","10.1506"
"311","Wiley","10.1901"
"311","Wiley","10.3401"
"311","Wiley","10.1301"
"311","Wiley","10.1348"
"311","Wiley","10.2755"
"311","Wiley","10.4218"
"311","Wiley","10.3405"
"311","Wiley","10.7167"
"311","Wiley","10.3162"
"311","Wiley","10.3322"
"311","Wiley","10.1581"
"311","Wiley","10.1100"
"311","Wiley","10.1516"
"311","Wiley","10.1113"
"311","Wiley","10.1112"
"311","Wiley","10.7217"
"311","Wiley","10.1634"
"311","Wiley","10.1359"
"311","Wiley","10.3814"
"311","Wiley","10.1118"
"311","Wiley","10.2966"
"311","Wiley","10.1592"
"311","Wiley","10.1196"
"311","Wiley","10.21815"
"311","Wiley","10.2164"
"311","Wiley","10.1111"
"311","Wiley","10.1155"
"311","Wiley","10.1034"
"311","Wiley","10.22541"
"311","Wiley","10.3170"
"311","Wiley","10.4061"
"311","Wiley","10.14814"
"311","Wiley","10.2136"
"311","Wiley","10.1002"
"311","Wiley","10.1046"
"311","Wiley","10.2135"
"311","Wiley","10.5402"
"311","Wiley","10.4319"
"311","Wiley","10.1526"
"311","Wiley","10.1889"
"311","Wiley","10.7863"
"311","Wiley","10.4195"
"311","Wiley","10.18934"
"311","Wiley","10.2134"
"311","Wiley","10.2903"
"311","Wiley","10.1256"
"311","Wiley","10.1576"
"311","Wiley","10.1897"
"311","Wiley","10.2746"
"311","Wiley","10.5694"
"311","Wiley","10.15200"
"311","Wiley","10.1096"
"311","Wiley","10.5054"
"311","Wiley","10.4284"
"311","Wiley","10.1890"
"311","Wiley","10.4004"
"311","Wiley","10.1892"
"311","Wiley","10.64286"
"311","Wiley","10.6064"
"314","Acoustical Society of Japan","10.1250"
"315","Association of Learned and Professional Society Publishers (ALPSP)","10.1087"
